judge,candidate_chosen,candidate_not_chosen,time_taken
M1,3_explanations2Explanations2,2_explanations2Explanations2,3
M1,1_explanations2Explanations2,10_explanations2Explanations2,4.9
M1,10_explanations2Explanations2,2_explanations2Explanations2,7
M1,3_explanations2Explanations2,1_explanations2Explanations2,7.6
M1,7_explanations2Explanations2,9_explanations2Explanations2,8.1
M1,5_explanations2Explanations2,6_explanations2Explanations2,10.4
M1,8_explanations2Explanations2,2_explanations2Explanations2,10.7
M1,4_explanations2Explanations2,7_explanations2Explanations2,10.9
M1,6_explanations2Explanations2,10_explanations2Explanations2,11.4
M1,5_explanations2Explanations2,9_explanations2Explanations2,15
M1,7_explanations2Explanations2,2_explanations2Explanations2,15.6
M1,5_explanations2Explanations2,8_explanations2Explanations2,18.5
M1,9_explanations2Explanations2,3_explanations2Explanations2,31.1
M1,5_explanations2Explanations2,1_explanations2Explanations2,33.5
M1,6_explanations2Explanations2,3_explanations2Explanations2,35.4
M1,8_explanations2Explanations2,10_explanations2Explanations2,51.2
M1,5_explanations2Explanations2,4_explanations2Explanations2,52.4
M1,9_explanations2Explanations2,10_explanations2Explanations2,55.7
M1,8_explanations2Explanations2,7_explanations2Explanations2,69.2
M1,3_explanations2Explanations2,8_explanations2Explanations2,123.2
M2,3_explanations2Explanations2,2_explanations2Explanations2,3
M2,3_explanations2Explanations2,7_explanations2Explanations2,3.2
M2,3_explanations2Explanations2,10_explanations2Explanations2,4.7
M2,5_explanations2Explanations2,9_explanations2Explanations2,4.9
M2,4_explanations2Explanations2,10_explanations2Explanations2,5.2
M2,3_explanations2Explanations2,5_explanations2Explanations2,7
M2,5_explanations2Explanations2,10_explanations2Explanations2,7.4
M2,5_explanations2Explanations2,7_explanations2Explanations2,7.8
M2,6_explanations2Explanations2,2_explanations2Explanations2,8.3
M2,4_explanations2Explanations2,8_explanations2Explanations2,9.5
M2,7_explanations2Explanations2,8_explanations2Explanations2,9.6
M2,4_explanations2Explanations2,6_explanations2Explanations2,10.8
M2,6_explanations2Explanations2,8_explanations2Explanations2,11.3
M2,1_explanations2Explanations2,2_explanations2Explanations2,12.1
M2,4_explanations2Explanations2,6_explanations2Explanations2,15.9
M2,7_explanations2Explanations2,10_explanations2Explanations2,18.6
M2,3_explanations2Explanations2,7_explanations2Explanations2,20.8
M2,9_explanations2Explanations2,1_explanations2Explanations2,24.1
M2,4_explanations2Explanations2,3_explanations2Explanations2,29.9
M2,6_explanations2Explanations2,9_explanations2Explanations2,48.6
M3,1_explanations2Explanations2,10_explanations2Explanations2,4
M3,6_explanations2Explanations2,2_explanations2Explanations2,6.2
M3,3_explanations2Explanations2,10_explanations2Explanations2,7.3
M3,7_explanations2Explanations2,8_explanations2Explanations2,8.7
M3,3_explanations2Explanations2,7_explanations2Explanations2,9.1
M3,1_explanations2Explanations2,6_explanations2Explanations2,10.9
M3,3_explanations2Explanations2,2_explanations2Explanations2,11.7
M3,8_explanations2Explanations2,2_explanations2Explanations2,15.3
M3,3_explanations2Explanations2,4_explanations2Explanations2,20.8
M3,5_explanations2Explanations2,9_explanations2Explanations2,22.4
M3,1_explanations2Explanations2,9_explanations2Explanations2,22.9
M3,9_explanations2Explanations2,8_explanations2Explanations2,25.6
