judge,candidate_chosen,candidate_not_chosen,time_taken
U1,5_explanations2Explanations2,7_explanations2Explanations2,3
U1,7_explanations2Explanations2,5_explanations2Explanations2,4.3
U1,1_explanations2Explanations2,3_explanations2Explanations2,7.9
U1,6_explanations2Explanations2,8_explanations2Explanations2,8.6
U1,4_explanations2Explanations2,10_explanations2Explanations2,12.3
U1,4_explanations2Explanations2,9_explanations2Explanations2,12.6
U1,1_explanations2Explanations2,5_explanations2Explanations2,12.8
U1,1_explanations2Explanations2,9_explanations2Explanations2,30.3
U1,8_explanations2Explanations2,2_explanations2Explanations2,32.8
U1,6_explanations2Explanations2,10_explanations2Explanations2,48.2
U2,10_explanations2Explanations2,9_explanations2Explanations2,8
U2,1_explanations2Explanations2,8_explanations2Explanations2,17.1
U2,7_explanations2Explanations2,8_explanations2Explanations2,18
U2,5_explanations2Explanations2,2_explanations2Explanations2,18.4
U2,6_explanations2Explanations2,2_explanations2Explanations2,27.3
U2,3_explanations2Explanations2,10_explanations2Explanations2,33.3
U2,3_explanations2Explanations2,9_explanations2Explanations2,43.9
U2,4_explanations2Explanations2,1_explanations2Explanations2,59.3
U2,7_explanations2Explanations2,4_explanations2Explanations2,62
U2,2_explanations2Explanations2,1_explanations2Explanations2,145.2
U3,4_explanations2Explanations2,9_explanations2Explanations2,9.8
U3,4_explanations2Explanations2,2_explanations2Explanations2,10.2
U3,1_explanations2Explanations2,7_explanations2Explanations2,12.5
U3,5_explanations2Explanations2,10_explanations2Explanations2,16.3
U3,6_explanations2Explanations2,5_explanations2Explanations2,52.7
U3,3_explanations2Explanations2,10_explanations2Explanations2,52.9
U3,6_explanations2Explanations2,3_explanations2Explanations2,55.6
U3,8_explanations2Explanations2,9_explanations2Explanations2,71.6
U3,4_explanations2Explanations2,8_explanations2Explanations2,119
U3,7_explanations2Explanations2,2_explanations2Explanations2,179.8
U4,6_explanations2Explanations2,7_explanations2Explanations2,10.3
U4,6_explanations2Explanations2,9_explanations2Explanations2,20.5
U4,2_explanations2Explanations2,10_explanations2Explanations2,31.3
U4,5_explanations2Explanations2,10_explanations2Explanations2,43
U4,2_explanations2Explanations2,9_explanations2Explanations2,45.7
U4,6_explanations2Explanations2,8_explanations2Explanations2,53.5
U4,5_explanations2Explanations2,4_explanations2Explanations2,79.8
U4,6_explanations2Explanations2,8_explanations2Explanations2,106.5
U4,2_explanations2Explanations2,3_explanations2Explanations2,111.3
U4,7_explanations2Explanations2,2_explanations2Explanations2,211.3
U5,4_explanations2Explanations2,1_explanations2Explanations2,9.1
U5,7_explanations2Explanations2,2_explanations2Explanations2,13.4
U5,1_explanations2Explanations2,3_explanations2Explanations2,14.1
U5,2_explanations2Explanations2,9_explanations2Explanations2,14.3
U5,8_explanations2Explanations2,10_explanations2Explanations2,19.6
U5,4_explanations2Explanations2,10_explanations2Explanations2,24.2
U5,1_explanations2Explanations2,5_explanations2Explanations2,41.1
U5,5_explanations2Explanations2,3_explanations2Explanations2,47.8
U5,10_explanations2Explanations2,9_explanations2Explanations2,48
U5,7_explanations2Explanations2,6_explanations2Explanations2,58.3
U6,1_explanations2Explanations2,3_explanations2Explanations2,15.8
U6,8_explanations2Explanations2,9_explanations2Explanations2,16.8
U6,5_explanations2Explanations2,3_explanations2Explanations2,18.8
U6,10_explanations2Explanations2,9_explanations2Explanations2,26.6
U6,7_explanations2Explanations2,9_explanations2Explanations2,28.7
U6,6_explanations2Explanations2,9_explanations2Explanations2,28.9
U6,5_explanations2Explanations2,3_explanations2Explanations2,42.4
U6,7_explanations2Explanations2,8_explanations2Explanations2,74.3
U6,1_explanations2Explanations2,4_explanations2Explanations2,88.5
U6,6_explanations2Explanations2,8_explanations2Explanations2,90.5
U7,3_explanations2Explanations2,7_explanations2Explanations2,14.7
U7,6_explanations2Explanations2,10_explanations2Explanations2,18.5
U7,4_explanations2Explanations2,7_explanations2Explanations2,24.1
U7,1_explanations2Explanations2,2_explanations2Explanations2,30.1
U7,3_explanations2Explanations2,10_explanations2Explanations2,31.1
U7,5_explanations2Explanations2,4_explanations2Explanations2,41.6
