judge,candidate_chosen,candidate_not_chosen,time_taken
34,4,6,28.733
34,9,14,17.837
34,3,1,25.582
34,14,3,15.994
34,5,13,7.867
34,4,1,3.492
34,7,12,4.934
34,5,9,3.674
34,1,13,4.203
34,5,15,2.85
34,14,1,2.664
34,15,13,4.607
34,6,7,6.617
34,9,11,5.449
34,10,6,8.712
34,10,2,6.423
34,5,6,3.622
34,7,13,7.327
34,8,6,19.593
34,2,11,3.734
34,5,14,7.977
34,9,7,7.52
88,2,5,35.106
88,8,14,12.328
88,6,15,2.08
88,2,13,23.656
88,4,13,55.903
88,5,7,49.487
88,14,15,32.07
88,10,7,1.146
88,12,6,58.619
88,14,6,51.268
88,3,13,1.5
88,5,11,26.246
88,1,11,44.258
88,6,9,1.773
88,7,11,1.188
88,5,1,5.877
88,12,4,22.864
88,15,4,14.411
88,6,3,38.78
88,8,7,14.791
97,6,1,1.556
97,14,7,2.25
97,10,8,39.146
97,10,11,37.147
97,3,11,26.044
97,10,14,2.092
97,8,1,32.874
97,5,10,27.956
97,2,4,21.622
97,6,13,29.265
97,10,13,5.579
97,12,1,2.105
97,8,9,28.584
97,2,7,3.133
97,8,13,8.015
97,3,10,12.05
97,5,4,9.267
97,15,12,9.034
97,15,7,8.642
97,5,3,7.134
114,9,12,3.763
114,2,12,14.196
114,7,1,6.652
114,7,4,27.387
114,8,12,11.407
114,10,15,25.53
114,10,4,10.062
114,5,8,19.628
114,2,8,1.779
114,9,13,11.67
114,9,1,6.898
114,12,13,3.65
114,12,5,4.958
114,3,15,19.429
114,8,11,10.061
114,2,3,2.526
114,10,12,5.781
114,2,15,2.4
114,2,1,2.419
114,11,4,8.98
135,14,13,1.625
134,14,12,3.781
134,2,6,1.725
134,1,15,1.945
134,12,11,1.358
134,3,4,1.105
135,3,8,6.516
134,3,8,35.99
135,10,9,42.927
134,4,9,1.239
134,3,12,5.956
134,1,10,56.179
135,15,9,2.085
135,9,4,11.245
134,3,7,22.88
134,2,14,12.129
135,2,6,24.526
134,6,11,23.418
135,14,12,21.716
135,3,9,6.867
134,4,14,30.218
135,15,11,23.018
135,14,11,11.275
134,14,11,12.662
134,2,9,5.665
135,3,4,7.883
135,3,7,16.48
134,13,11,34.67
135,15,1,19.426
135,14,4,10.485
135,11,12,39.316
134,9,10,1.129
134,15,9,8.698
134,15,11,6.343
134,15,8,16.338
135,8,4,48.314
135,3,12,21.54
135,2,9,7.846
135,11,13,32.243
135,10,1,9.31
163,13,7,9.222
163,3,1,1.503
163,15,10,1.188
163,12,8,1.632
163,13,6,55.031
163,2,4,17.97
163,13,4,9.065
163,15,5,37.786
