judge,candidate_chosen,candidate_not_chosen,time_taken
2,11,4,4.12
2,11,2,2.09
2,11,8,1.266
2,10,12,8.64
2,2,3,1.094
2,6,1,1.006
2,9,1,1.335
2,5,4,1.478
2,5,15,42.137
2,10,9,36.954
2,13,15,3.124
2,10,14,1.038
2,15,9,51.734
2,7,11,2.54
2,6,14,51.352
2,10,7,1.202
2,6,12,10.428
2,6,3,13.155
2,4,12,10.461
2,6,4,7.704
31,10,1,45.45
31,10,8,15.808
31,3,1,27.421
31,9,12,1.436
31,6,15,20.472
31,2,5,14.367
31,4,13,32.987
31,5,14,11.309
31,10,15,13.74
31,11,3,33.732
31,14,3,3.665
31,5,12,6.066
31,12,1,6.398
31,15,11,6.908
31,15,4,3.491
31,5,3,3.316
31,2,14,2.878
31,15,3,4.599
31,7,2,15.795
31,6,9,8.764
31,8,1,12.285
31,14,1,19.155
43,7,1,51.602
43,8,12,2.287
43,7,5,1.077
43,4,7,1.089
43,6,5,48.018
43,10,2,56.73
43,4,14,51.536
43,4,9,33.208
43,11,9,24.337
43,7,12,4.344
43,5,13,30.004
43,8,13,4.011
43,6,2,13.233
43,4,8,9.634
43,11,1,3.388
43,11,13,7.677
43,10,13,4.284
43,2,13,30.259
43,7,13,7.742
43,4,2,4.344
43,6,8,13.697
43,9,3,22.121
43,11,12,6.172
50,12,13,2.673
50,7,15,1.136
50,6,13,24.196
50,14,12,56.43
50,12,15,3.184
50,9,7,17.806
50,4,10,20.643
50,14,15,4.086
50,14,13,2.766
50,9,13,3.254
50,8,3,5.69
50,8,15,6.212
50,5,1,40.595
50,12,2,55.578
50,2,15,4.202
50,8,7,4.612
50,14,7,3.051
50,10,6,17.263
50,4,1,3.959
50,8,2,3.712
67,10,3,1.292
67,1,2,10.198
67,13,1,19.544
67,14,11,21.301
67,13,3,9.104
67,7,6,24.311
67,8,14,35.656
67,6,11,17.001
67,4,3,4.366
67,14,9,16.265
67,12,3,22.877
67,9,5,9.403
67,2,9,13.562
67,7,3,4.754
67,5,11,17.608
67,10,11,6.327
67,10,5,6.821
67,1,15,3.955
67,8,9,6.076
67,8,5,11.959
77,8,1,29.743
77,6,11,2.227
77,1,3,29.331
77,14,8,38.902
77,9,7,1.978
77,5,12,50.341
77,15,1,1.041
77,15,3,27.143
77,8,13,1.036
77,15,4,15.835
77,14,7,10.082
77,9,11,1.444
77,6,3,8.881
77,9,3,8.454
77,4,13,18.475
77,10,1,11.665
77,15,11,6.699
77,6,4,14.696
77,2,13,34.962
77,10,2,10.49
101,7,13,1.541
101,14,9,59.049
101,12,1,1.517
101,10,15,1.709
101,8,4,55.251
101,15,9,10.311
101,11,12,52.123
101,9,13,17.766
101,7,3,3.092
101,4,11,53.596
101,6,2,1.156
101,5,14,33.749
101,4,3,52.27
101,7,11,4.036
101,4,14,13.512
101,7,4,8.089
101,13,3,53.618
101,15,8,0.019
101,8,12,19.3
101,11,2,7.476
108,5,7,1.593
108,8,3,45.526
108,14,1,11.923
108,14,6,26.491
108,10,9,11.835
108,5,9,7.601
108,8,6,8.398
108,12,9,24.631
108,14,15,4.087
108,10,14,5.392
108,6,13,4.166
108,14,11,5.568
108,15,7,3.742
108,15,13,3.106
108,14,13,5.171
108,10,7,3.328
108,11,1,14.26
108,5,13,2.351
108,6,9,3.105
108,14,3,3.241
115,2,1,4.982
115,4,1,1.615
115,11,3,2.279
115,13,1,2.731
115,12,2,2.145
119,12,3,2.507
119,2,3,16.018
119,7,2,36.314
119,5,8,31.219
119,5,11,35.86
119,7,12,1.392
119,10,6,41.697
119,8,2,4.935
120,7,12,1.563
119,9,1,40.95
120,2,9,15.703
119,12,13,23.852
120,13,12,22.91
119,6,1,3.958
120,14,12,9.752
119,15,12,23.719
120,6,12,23.118
120,7,1,9.414
119,8,11,18.609
120,6,1,4.663
120,9,8,9.208
120,5,10,8.195
119,5,4,19.058
120,2,5,3.463
120,13,11,15.266
119,10,8,20.075
120,10,3,10.355
120,5,1,3.229
119,6,7,15.137
120,6,10,10.195
119,6,12,8.535
119,5,2,2.295
120,2,8,3.819
120,5,4,3.837
120,6,7,4.635
120,2,4,2.498
120,9,1,4.214
119,6,5,21.98
120,4,9,8.544
119,5,15,3.484
131,14,2,1.039
131,6,15,46.827
131,2,15,1.753
131,5,3,12.884
133,10,4,3.348
133,10,11,3.813
133,4,12,1.55
133,10,12,1.651
133,10,13,1.053
133,7,8,2.497
133,6,13,55.314
133,4,2,1.601
133,4,9,23.24
133,11,13,15.564
133,5,12,20.064
133,9,13,16.804
133,10,3,34.895
133,3,13,31.175
133,10,5,10.475
133,12,1,1.802
133,15,13,45.928
133,4,13,8.937
133,3,5,16.62
133,14,2,1.408
133,8,15,31.451
149,10,1,39.075
149,9,11,34.965
149,3,1,27.964
149,10,13,29.39
149,15,7,21.943
149,2,7,15.733
149,5,7,19.701
