judge,candidate_chosen,candidate_not_chosen,time_taken
3,3,1,15.733
3,8,14,19.484
3,7,9,13.723
3,5,12,19.091
3,15,1,6.862
3,15,3,15.572
3,8,13,4.974
3,15,4,5.337
3,7,14,2.539
3,9,11,13.601
3,3,6,6.036
3,3,9,2.946
3,4,13,16.946
3,10,1,3.123
3,14,12,4.571
3,4,6,6.793
3,2,13,6.516
3,10,2,3.12
3,10,3,2.22
3,2,4,4.539
24,9,1,3.839
24,8,12,2.084
24,4,1,31.472
24,15,9,1.815
24,10,7,3.398
24,6,2,2.651
24,5,7,51.093
24,10,6,30.426
24,15,10,14.092
24,5,4,55.208
24,4,9,36.971
24,6,8,33.444
24,12,1,8.868
24,15,11,3.782
24,5,9,24.212
24,3,8,4.44
24,3,4,3.661
24,10,4,4.453
24,8,2,5.696
24,6,13,1.529
37,8,5,1.223
37,11,2,3.813
37,13,12,2.655
37,7,2,39.826
37,14,5,29.32
37,15,2,1.567
37,14,2,7.243
37,6,5,33.138
37,14,1,12.064
37,14,13,8.567
37,5,2,42.55
37,13,5,22.041
37,14,10,1.603
37,10,12,7.275
37,5,3,8.894
37,8,11,43.11
37,11,4,21.358
37,11,3,7.381
37,10,13,8.244
37,11,5,17.135
51,5,1,48.642
51,10,5,43.581
51,13,1,1.194
51,14,3,16.053
51,11,10,1.367
51,9,13,41.31
51,14,4,37.664
51,3,12,43.443
51,6,9,1.02
51,13,7,24.34
51,8,10,22.75
51,9,2,20.647
51,14,11,37.348
51,8,15,15.297
51,6,14,49.501
51,11,12,4.793
51,14,15,3.586
51,8,4,6.269
51,2,12,3.676
51,4,7,8.59
54,3,7,55.255
54,2,1,1.287
54,14,9,1.634
54,6,1,46.97
54,9,8,1.938
54,15,13,33.282
54,15,6,17.709
54,9,10,48.89
54,11,1,13.838
54,13,11,28.994
54,13,3,12.207
54,11,7,1.354
70,11,6,7.227
70,7,1,2.323
70,6,7,35.636
70,8,1,25.219
70,2,3,2.413
70,15,12,2.368
70,9,12,43.049
70,15,7,23.078
70,5,15,52.889
70,7,12,10.878
70,4,12,52.504
70,8,7,13.415
70,6,12,37.112
70,9,3,29.356
70,3,12,7.489
70,5,7,39.814
70,12,1,16.753
70,5,2,12.563
70,4,9,25.432
70,4,3,6.905
75,10,7,1.791
75,3,1,15.684
75,9,15,13.14
75,8,9,31.394
75,10,6,47.239
75,2,3,7.157
75,10,4,33.976
75,14,9,24.719
75,5,12,1.062
75,8,14,14.525
75,10,13,17.535
75,10,3,2.527
75,14,3,6.842
75,10,5,2.643
75,10,1,2.26
75,13,12,19.219
75,4,12,3.325
75,2,15,3.188
75,2,12,3.992
75,15,3,5.064
84,8,7,25.262
84,12,15,10.21
102,4,1,1.107
102,14,11,2.14
102,11,8,1.996
102,2,7,1.189
102,5,13,55.219
102,9,7,1.289
102,8,4,31.827
102,14,4,51.034
102,14,6,1.496
102,1,13,47.098
102,14,12,2.46
102,5,15,52.004
102,11,3,25.94
102,3,6,45.868
102,15,4,22.643
102,2,9,25.352
102,6,7,11.443
102,2,8,12.265
102,10,8,1.2
102,3,8,15.843
102,2,4,30.523
102,3,7,7.091
110,11,1,1.103
110,2,1,19.573
110,5,1,22.97
110,4,7,59.337
110,14,15,40.976
110,14,2,6.022
110,13,8,30.822
110,7,15,1.687
110,6,4,28.718
110,11,2,17.632
110,6,5,7.524
110,6,12,30.178
110,11,7,4.813
110,10,15,8.126
110,15,1,3.428
110,11,12,5.979
110,11,5,9.699
110,13,9,26.337
110,7,12,4.116
110,13,3,6.254
110,12,8,13.805
121,10,9,3.491
121,6,11,14.96
121,6,8,13.104
121,8,15,3.732
121,13,2,2.381
121,9,12,18.84
121,11,15,4.266
121,6,9,0.324
121,13,15,1.339
121,4,13,15.458
121,8,1,4.157
121,10,14,21.171
121,5,3,3.87
121,7,14,28.64
121,7,1,2.173
121,6,2,2.687
121,11,13,3.871
121,5,4,6.944
121,14,13,2.687
121,9,11,2.865
121,9,5,1.146
121,6,15,1.251
121,10,11,26.144
121,14,5,10.808
121,8,5,2.465
121,14,1,9.057
121,6,1,8.673
121,9,1,3.776
121,2,10,6.342
132,10,12,1.498
132,4,11,2.224
132,7,13,2.763
132,6,13,58.405
132,10,14,32.542
132,7,14,9.111
132,8,7,44.814
132,7,12,8.971
132,6,14,11.164
132,6,3,1.576
132,4,13,8.226
132,4,6,1.132
132,14,13,21.681
132,15,2,16.591
132,13,2,4.756
132,8,14,9.942
132,8,1,6.444
132,8,2,3.337
132,11,2,1.103
132,5,14,19.04
132,5,3,22.177
132,6,9,38.036
132,5,1,3.995
141,10,1,16.562
141,8,12,2.243
141,3,1,2.048
141,14,12,15.195
141,9,13,1.289
141,9,7,2.044
141,2,4,46.26
141,14,4,51.613
141,6,7,2.942
