judge,candidate_chosen,candidate_not_chosen,time_taken
9,14,3,1.684
9,4,12,47.089
9,6,2,37.587
9,4,13,16.467
9,5,6,6.787
9,13,1,6.482
9,15,9,31.078
16,8,1,53.36
16,9,7,1.184
16,3,1,1.047
16,14,9,1.822
16,15,7,10.065
16,6,9,1.413
16,2,3,11.205
16,4,7,15.622
16,9,13,49.568
16,5,11,41.484
16,8,13,40.762
16,10,13,6.175
16,3,8,20.546
16,3,11,3.547
16,5,9,5.866
16,10,1,48.922
16,15,11,10.06
16,9,4,3.71
16,2,15,2.337
16,2,12,10.619
20,11,1,5.491
22,12,1,2.263
22,10,11,1.99
22,4,1,24.555
22,11,14,1.06
22,8,10,46.689
22,9,2,48.017
22,5,13,1.385
22,8,7,3.124
22,8,4,7.899
22,14,4,9.095
22,6,14,20.206
22,15,1,1.025
22,12,13,5.859
22,5,15,5.092
22,3,12,16.91
22,7,3,7.69
22,15,4,10.4
22,11,2,9.809
22,6,7,5.938
22,10,2,5.118
22,9,3,9.324
22,5,14,10.014
44,9,11,2.459
44,2,5,1.629
44,5,12,2.368
44,5,10,1.118
44,6,11,1.071
44,14,8,1.137
44,6,13,1.381
44,10,4,56.459
44,8,9,2.041
44,2,7,1.644
44,4,3,1.096
44,10,14,1.333
44,8,15,9.239
44,4,11,3.148
44,3,13,2.692
44,2,1,1.03
44,10,3,12.549
44,15,14,41.203
44,14,12,47.847
44,14,13,21.699
49,5,8,41.402
49,10,9,54.346
49,5,7,43.89
49,15,13,42.553
49,14,1,24.964
49,2,13,19.631
49,10,12,18.419
49,15,12,14.742
49,10,7,9.59
49,7,12,30.5
49,2,14,13.14
49,9,1,21.034
49,9,12,14.985
49,6,1,16.287
52,8,2,50.749
52,10,15,32.92
49,11,13,1.966
49,14,7,31.378
52,6,12,36.428
52,5,4,14.037
49,11,12,17.882
52,5,1,9.394
52,8,12,8.736
52,6,3,3.83
49,7,13,24.172
52,2,4,3.489
52,7,1,13.951
49,6,12,17.577
49,2,8,8.71
52,6,8,24.889
52,6,15,2.255
52,7,13,5.61
49,7,11,25.276
52,7,14,12.464
52,11,13,1.689
52,10,6,1.095
52,11,8,0.792
52,5,3,0.799
52,11,7,1.077
52,11,12,1.171
52,4,6,1.115
68,15,3,52.036
68,14,6,1.02
68,3,1,20.008
68,14,9,49.37
68,7,15,44.694
68,5,14,11.23
68,15,1,5.267
68,6,4,50.244
68,9,13,41.729
68,5,7,6.426
68,8,13,14.163
68,10,12,34.908
68,7,3,6.695
68,10,3,12.076
68,15,4,22.593
68,10,1,4.789
68,12,13,36.168
68,8,4,11.139
68,2,14,11.844
68,2,11,7.256
68,14,12,29.55
68,5,13,3.93
68,5,3,4.047
68,2,6,1.973
68,7,1,3.7
73,10,11,3.461
73,4,1,1.964
73,15,12,8.855
73,8,11,1.839
73,2,7,2.211
73,5,9,1.78
73,6,15,1.321
73,4,7,46.247
73,4,11,16.784
73,6,11,7.317
73,13,1,3.879
98,2,15,27.682
98,9,7,31.923
98,8,10,24.234
98,14,13,14.637
98,10,13,14.398
98,1,14,7.398
98,8,12,11.355
98,2,4,26.575
98,7,12,9.137
98,1,5,5.731
98,8,3,9.463
98,13,3,9.427
98,6,3,5.882
98,1,12,3.557
98,8,7,14.169
98,2,5,2.825
98,4,12,3.917
98,2,13,2.809
98,8,15,2.977
98,14,11,4.189
98,9,6,13.094
98,14,8,12.764
98,14,4,2.526
98,14,15,1.297
98,12,3,2.102
98,9,3,1.671
98,9,8,2.44
103,9,4,1.619
103,11,1,1.317
103,10,2,33.645
103,5,11,44.109
103,5,15,38.933
103,9,11,9.026
103,10,6,21.38
103,2,12,16.297
103,9,1,9.273
103,10,15,22.955
103,6,1,15.356
104,9,12,4.049
103,15,13,1.133
103,10,9,18.273
103,10,4,17.346
103,10,7,21.776
103,9,15,11.418
103,2,9,6.658
103,10,14,23.519
103,6,7,1.325
103,5,4,6.206
104,15,9,3.71
104,8,1,50.911
104,2,12,1.355
104,3,4,28.041
104,6,13,1.31
104,14,10,1.148
105,11,15,37.7
105,8,5,9.404
104,7,6,7.97
104,6,8,7.309
104,6,1,3.127
104,2,9,9.834
104,10,15,5.042
104,11,3,1.223
104,15,3,20.414
104,5,4,43.593
104,5,11,4.128
104,14,3,10.495
104,5,8,6.509
104,11,15,14.196
104,10,4,6.01
128,2,1,35.662
128,5,6,1.861
128,2,3,25.361
128,5,10,33.414
128,5,12,2.539
128,4,13,3.537
128,9,7,2.915
128,2,5,2.349
128,4,11,46.348
128,12,13,1.096
128,6,10,28.477
128,10,11,3.765
128,3,11,14.749
128,14,3,3.71
128,8,6,2.509
128,12,1,1.03
128,15,13,22.205
128,14,4,12.985
128,3,6,18.773
128,2,15,4.502
137,3,1,5.593
137,10,12,5.48
137,7,14,3.991
137,2,4,5.292
137,5,7,57.953
137,14,6,1.293
137,3,15,2.468
137,4,8,40.218
137,6,12,10.082
137,11,1,5.722
137,14,12,12.816
137,5,10,2.209
137,3,8,8.098
137,3,4,6.7
137,9,4,10.547
137,2,7,3.403
137,5,12,4.557
137,2,6,4.227
137,7,13,56.894
137,3,7,6.548
140,8,14,44.511
140,6,4,25.279
140,1,15,33.258
140,10,13,20.104
140,11,7,56.185
140,9,6,20.142
140,5,13,25.809
140,9,10,12.372
140,9,14,10.801
140,1,4,16.338
140,1,2,10.81
140,9,1,4.726
140,9,3,4.596
140,8,9,22.945
140,8,7,5.827
140,9,5,7.323
140,12,4,23.086
140,10,7,5.979
140,8,11,6.084
140,7,15,22.464
140,5,3,16.611
140,15,4,20.957
140,14,15,3.889
140,9,13,4.322
140,6,13,5.604
140,9,11,4.844
140,8,2,5.483
140,13,3,10.251
140,8,10,3.888
140,13,11,32.041
140,14,1,4.759
143,5,1,10.692
143,8,15,35.302
143,8,12,26.172
143,2,10,7.877
143,4,7,9.901
143,9,12,7.648
143,13,1,5.235
143,10,1,4.977
143,4,13,4.901
143,7,12,33.525
143,2,14,14.891
143,2,3,1.629
143,5,14,4.262
143,15,12,2.405
143,7,1,3.07
143,14,13,3.45
143,5,15,2.183
143,6,15,10.707
143,2,13,2.179
143,14,11,10.946
181,5,6,30.649
181,8,1,10.433
181,2,11,30.2
181,12,11,33.315
181,10,3,15.046
181,12,3,10.613
181,6,11,6.286
181,8,13,7.652
181,5,11,5.456
