judge,candidate_chosen,candidate_not_chosen,time_taken
17,8,1,33.413
17,6,11,34.883
17,1,3,38.2
17,8,14,35.1
27,10,1,2.199
27,6,14,1.183
27,4,1,13.933
27,9,12,52.495
27,12,7,1
27,5,14,15.119
27,4,2,13.635
27,6,4,5.871
27,9,11,12.681
27,5,7,6.489
27,8,10,9.668
27,9,15,2.937
27,8,3,2.786
27,3,11,8.354
27,4,15,3.337
27,12,1,2.714
27,15,11,2.21
27,8,4,2.59
27,2,15,2.675
27,12,2,2.768
32,15,13,2.774
32,13,1,1.106
32,3,4,1.363
32,3,7,1.747
32,14,7,1.635
32,6,9,1.79
32,15,8,25.354
32,8,11,58.35
32,15,1,2.831
32,13,8,9.157
32,15,7,2.171
32,3,5,12.251
32,2,8,17.635
32,7,10,9.503
32,5,1,5.372
32,8,12,25.971
32,15,3,3.04
32,4,13,7.435
32,6,13,5.215
32,3,6,7.741
47,6,12,35.358
47,2,1,27.993
47,14,1,17.971
47,15,10,55.837
47,6,15,22.209
47,9,13,21.617
47,5,12,18.529
47,11,1,41.832
47,14,4,1.44
47,12,3,36.308
47,5,11,46.057
47,15,14,40.914
47,5,10,15.71
47,2,3,12.008
47,6,10,20.275
47,7,4,19.875
47,9,1,8.541
47,2,13,16.568
47,9,4,19.181
47,14,2,14.016
95,10,3,2.369
95,7,1,1.029
95,5,9,28.751
95,10,9,33.807
95,11,13,1.534
95,6,7,34.114
95,7,9,43.599
95,2,11,10.531
95,10,13,8.698
95,14,10,31.672
95,14,11,8.627
95,2,5,3.404
95,15,12,27.821
95,7,11,8.727
95,8,5,19.542
95,2,9,7.058
95,10,12,4.319
95,14,3,16.36
95,6,1,7.841
95,15,5,4.495
122,12,13,1.077
122,12,11,1.084
122,4,10,1.02
122,5,13,17.172
122,12,14,11.196
122,5,4,5.523
122,8,7,34.317
122,6,8,15.128
122,14,9,20.145
122,2,7,3.775
122,5,6,11.529
122,2,6,3.87
122,3,9,16.404
122,4,11,11.853
122,10,11,5.137
122,14,13,3.959
122,3,13,2.297
122,7,13,13.385
122,4,12,13.366
122,2,10,1.593
125,8,9,19.803
125,14,12,22.338
125,3,9,11.599
125,4,14,6.806
125,8,11,13.994
125,1,12,13.144
125,11,2,5.531
125,5,15,3.466
125,7,14,10.231
125,6,7,7.81
125,9,2,2.878
125,5,7,6.649
125,14,13,6.08
125,13,2,1.91
125,3,13,4.795
125,11,3,2.425
125,1,7,4.291
125,7,13,3.97
125,14,2,1.606
125,15,7,3.612
156,12,15,10.806
156,14,3,2.393
156,3,2,59.03
156,10,12,2.137
156,6,2,4.928
156,11,12,4.712
156,14,9,3.18
156,7,4,3.321
156,10,11,31.874
156,10,1,2.403
156,13,1,2.502
156,8,12,1.488
156,7,3,5.878
156,6,15,9.46
156,4,15,11.069
156,12,4,26.774
156,15,11,17.04
156,4,13,6.586
156,15,2,4.845
156,10,2,6.999
207,3,1,1.179
207,9,13,6.785
207,2,8,3.195
207,10,6,2.199
209,6,3,14.291
209,8,5,12.836
209,8,7,22.176
209,5,3,7.966
209,8,13,8.754
209,8,1,5.295
209,14,1,4.197
209,14,6,18.627
209,4,5,5.34
209,8,4,4.209
209,10,5,4.945
209,4,11,10.169
209,15,1,10.541
