judge,candidate_chosen,candidate_not_chosen,time_taken
174,6,1,47.677
174,6,7,1.184
174,4,11,31.832
174,9,3,21.772
174,7,11,10.54
174,6,13,9.182
174,6,12,7.361
174,7,3,2.591
174,10,5,26.218
174,4,2,5.122
174,15,5,11.037
174,7,13,4.42
174,4,7,11.178
174,15,3,17.833
174,5,3,7.984
174,4,3,3.405
174,10,13,3.091
174,9,15,8.838
174,1,12,1.924
174,9,13,7.931
232,14,2,40.693
232,13,12,3.308
232,6,2,35.022
232,7,1,1.604
232,10,1,21.644
232,4,15,57.251
232,15,7,6.217
232,14,15,7.568
232,10,12,16.246
232,10,9,1.06
232,11,10,1.731
232,14,8,36.056
232,13,3,37.835
232,5,13,25.651
232,6,5,1.883
232,11,12,8.339
232,10,3,6.667
232,6,3,4.807
232,9,1,9.978
232,11,2,4.066
252,13,15,2.127
252,14,11,1.164
252,9,11,40.683
252,1,3,55.224
252,8,3,19.451
252,13,1,5.013
252,10,14,36.933
252,9,2,5.553
252,10,6,18.83
252,9,12,6.244
252,8,6,5.313
252,15,2,32.662
252,8,11,3.702
252,7,2,19.741
252,14,3,7.253
252,4,14,21.874
252,9,5,16.827
252,13,11,58.515
252,15,1,5.897
252,10,15,3.163
252,12,3,1.057
252,2,3,42.675
252,12,2,7.664
252,8,5,2.099
252,4,6,3.229
252,6,11,14.808
252,4,5,2.15
252,11,1,7.453
252,5,2,33.299
252,4,13,2.647
252,8,1,4.013
252,8,10,6.543
252,14,7,12.751
252,5,12,4.564
252,10,2,2.427
252,8,13,5.034
252,6,15,10.208
252,10,7,11.006
252,8,9,6.018
252,11,15,7.277
252,9,7,6.139
252,4,9,2.294
252,14,1,4.598
252,8,2,23.93
252,14,13,26.387
252,14,6,3.556
252,4,8,5.016
252,8,12,1.908
252,8,7,3.32
252,4,10,2.744
259,7,5,2.819
259,2,1,28.851
259,8,15,1.021
259,4,12,1.265
259,4,1,13.134
259,5,1,6.12
259,15,12,14.217
259,14,12,1.072
259,14,9,50.835
259,11,3,1.115
259,7,12,6.617
259,2,13,1.149
259,14,5,4.884
259,6,9,43.603
259,11,5,12.053
259,10,3,10.958
259,14,3,3.808
259,10,5,3.931
259,13,1,44.931
259,5,2,4.705
263,8,1,1.133
263,8,7,18.828
263,3,1,31.491
263,9,13,1.5
263,14,7,16.732
263,6,8,35.29
263,2,3,26.849
263,4,8,13.157
263,9,12,28.343
