judge,candidate_chosen,candidate_not_chosen,time_taken
5,11,3,1.81
5,1,9,53.107
71,6,9,52.495
71,11,1,1.482
93,8,15,16.394
93,12,11,44.993
93,5,2,16.757
93,6,1,26.748
93,10,1,8.136
93,4,8,12.892
93,10,6,14.258
93,9,14,24.208
93,2,13,12.395
93,10,14,14.299
93,7,15,1.313
93,10,7,5.381
93,14,7,17.033
93,8,7,2.422
93,8,3,2.362
93,4,15,3.752
93,9,4,5.155
93,13,15,9.497
93,5,3,2.275
93,2,15,6.833
169,14,3,3.795
169,10,2,48.706
169,8,2,53.913
169,13,3,5.801
169,5,6,3.673
169,9,13,55.599
169,5,15,3.372
169,15,3,1.116
169,7,3,1.866
169,14,15,57.974
169,4,2,23.838
169,4,11,2.344
169,6,7,5.878
169,14,1,11.469
169,7,1,2.896
169,12,14,2.531
169,8,14,9.373
169,15,11,8.936
169,7,2,39.875
169,5,14,6.559
173,14,6,1.022
173,10,12,57.374
173,6,11,26.116
173,5,7,47.018
173,9,5,11.95
173,14,13,55.553
173,2,3,5.589
173,5,4,30.63
173,9,15,35.285
173,2,12,3.659
173,5,12,9.066
173,2,6,4.891
173,5,8,10.065
173,8,9,24.91
173,9,12,12.188
173,9,11,7.425
173,6,8,19.224
173,15,1,7.096
173,3,4,10.553
173,6,3,8.923
176,7,12,1.224
176,8,1,18.828
180,10,13,2.523
180,8,13,1.062
180,5,13,41.804
180,10,11,1.244
180,2,1,1.508
180,15,12,1.736
180,10,5,30.13
180,11,13,6.058
180,9,2,21.061
180,11,2,5.507
180,4,6,26.39
180,7,4,39.636
180,8,10,27.338
180,6,13,5.003
180,7,9,25.565
180,5,1,3.911
180,10,3,10.31
180,4,13,3.937
180,10,4,28.147
180,7,13,5.984
199,14,11,2.244
199,5,11,1.134
199,11,7,13.082
199,3,1,33.947
199,13,1,13.04
199,10,9,13.94
199,14,4,16.76
199,2,14,20.058
199,3,9,4.678
199,12,6,12.579
199,12,13,4.569
199,15,6,3.375
199,12,4,7.116
199,4,1,4.783
199,12,3,5.707
199,12,8,5.771
199,15,10,2.948
199,11,8,5.486
199,12,1,2.189
199,5,8,2.832
225,8,1,20.912
225,6,12,51.876
225,3,1,8.089
225,8,15,30.996
225,10,7,15.538
225,5,13,42.708
225,15,1,3.725
225,15,3,11.712
225,8,14,16.091
225,4,15,15.834
225,15,7,15.97
225,9,12,9.452
225,6,3,18.398
225,9,3,9.08
225,4,13,27.141
225,10,1,2.188
225,11,15,30.213
225,4,6,7.822
225,13,2,17.762
225,10,2,2.85
262,11,1,9.013
262,10,6,5.636
262,10,15,6.896
262,5,15,2.979
262,5,3,16.853
262,7,2,1.985
262,7,1,16.404
262,12,1,1.875
262,7,5,30.456
262,14,7,30.95
262,14,12,29.035
268,6,15,1.199
268,12,3,32.783
268,2,12,11.393
268,9,1,10.607
268,2,3,4.839
268,6,7,8.074
268,14,9,29.32
268,15,13,13.678
268,10,4,14.252
268,7,8,27.393
268,8,6,4.986
268,7,9,5.314
268,9,13,3.649
268,6,1,3.468
268,7,4,4.894
268,14,3,3.973
268,14,2,2.518
268,14,1,2.126
268,9,4,6.238
268,8,3,9.147
293,6,2,1.647
293,2,1,2.706
293,4,1,2.418
293,11,4,3.795
293,14,15,1.513
293,10,3,30.475
293,8,13,2.077
293,8,11,6.094
293,8,4,8.928
293,4,3,5.878
293,6,5,18.518
293,6,13,4.615
293,7,12,3.657
293,11,12,7.658
293,9,2,17.459
293,11,13,8.275
293,11,5,26.003
293,10,11,2.91
293,7,13,9.818
293,3,13,8.12
301,10,5,3.511
301,14,13,4.746
301,10,8,5.404
301,5,4,2.234
301,8,9,1.43
301,9,15,1.751
301,10,9,18.245
304,2,15,43.6
301,2,11,3.813
301,5,14,1.442
301,11,9,14.71
305,12,4,2.918
305,1,5,40.63
305,9,5,31.641
305,12,15,43.333
305,11,14,45.859
301,1,13,3.176
305,10,12,16.781
301,5,1,10.081
305,8,12,15.022
301,10,13,26.311
305,4,14,21.627
305,6,9,1.218
305,4,2,8.799
305,12,13,24.72
305,10,14,7.839
305,8,2,8.024
301,6,11,2.299
301,11,3,11.763
301,2,5,16.846
301,2,8,6.471
305,11,7,1.064
305,5,12,11.327
305,7,3,7.012
305,6,14,14.297
305,5,2,5.19
305,1,13,6.127
305,6,11,4.585
301,3,7,1.447
301,8,12,2.608
301,2,15,5.022
301,10,7,1.364
301,2,12,3.57
301,8,1,4.109
301,2,9,4.686
301,3,8,9.956
324,7,15,2.021
324,1,3,28.923
324,12,11,1.987
324,8,15,22.808
324,14,6,1.179
324,6,2,17.094
324,14,4,40.124
324,10,15,13.749
324,5,15,18.51
324,14,9,23.961
324,4,5,52.477
324,8,4,23.499
324,13,5,22.104
324,12,1,11.678
324,13,12,19.893
324,6,5,12.23
324,11,3,10.184
324,6,3,5.767
324,4,9,11.582
324,10,2,8.426
349,11,13,7.418
349,4,1,11.038
349,9,11,11.794
349,2,13,27.491
349,8,6,1.944
349,14,7,1.441
349,4,15,40.214
349,9,5,46.842
349,14,12,30.77
349,7,12,6.405
349,15,1,3.276
349,15,12,3.04
349,10,6,2.499
349,4,7,6.818
349,14,3,7.707
349,10,5,3.4
349,4,3,3.293
349,6,12,16.472
349,14,2,3.533
349,4,6,9.059
370,11,2,1.209
370,11,7,52.045
376,14,1,10.503
376,2,1,7.879
376,6,1,14.304
376,4,12,43.996
376,14,15,8.175
376,12,3,6.749
376,9,12,11.334
376,14,8,11.922
376,11,4,20.175
376,9,3,3.886
376,5,8,11.122
376,7,8,17.626
376,9,8,8.525
376,4,2,4.215
376,10,14,7.613
376,14,5,3.329
376,9,13,9.384
376,15,3,13.162
376,7,2,3.776
376,3,13,9.185
415,9,6,43.837
415,9,10,33.966
415,10,4,15.183
415,10,12,18.538
441,5,11,1.109
441,13,8,4.02
441,15,11,2.961
441,13,10,1.49
441,11,1,4.588
441,10,1,1.11
441,13,15,25.003
441,5,3,31.538
441,10,3,35.975
441,5,7,1.651
441,6,7,59.408
441,6,13,15.012
441,14,11,23.809
441,8,11,16.733
441,5,12,1.29
441,9,7,1.27
441,4,13,26.215
441,10,11,22.353
441,2,3,30.888
441,7,1,8.919
441,9,1,16.018
441,6,15,8.801
441,9,15,5.464
441,10,8,16.637
492,7,13,1.112
492,14,13,48.279
492,11,2,1.096
492,5,13,30.667
492,4,13,40.891
