judge,candidate_chosen,candidate_not_chosen,time_taken
15,8,1,12.434
15,6,11,21.198
15,1,3,11.561
15,8,14,40.11
15,9,7,24.665
15,12,5,57.552
15,1,15,5.214
15,15,3,33.24
15,8,13,3.089
15,4,15,17.2
15,14,7,4.083
15,9,11,4.594
15,6,3,5.457
15,9,3,6.28
15,4,13,3.367
15,10,1,14.776
15,11,15,34.323
15,6,4,4.874
15,13,2,21.021
15,10,2,2.797
15,6,9,21.43
15,14,10,6.719
15,14,5,3.107
15,5,3,6.894
15,13,12,5.88
15,7,2,2.208
15,7,1,1.728
15,12,1,10.463
15,7,5,3.006
15,7,13,1.549
15,5,15,6.916
36,9,5,57.986
36,10,3,41.581
36,13,1,39.457
36,6,12,51.646
36,14,1,14.677
36,8,11,1.094
36,3,11,26.637
36,6,15,9.676
36,2,15,4.907
36,4,11,21.758
36,9,13,5.913
36,2,12,3.641
36,15,12,3.174
36,7,8,18.78
36,9,14,11.528
36,8,12,3.174
36,14,12,10.983
36,7,10,11.41
36,2,4,14.469
36,14,6,42.803
79,2,3,19.267
79,2,1,12.3
79,4,1,31.823
79,14,3,25.376
79,14,15,26.705
79,4,3,17.641
79,8,9,55.494
79,7,12,1.107
79,3,13,11.155
79,2,11,50.067
79,8,4,16.774
79,5,11,34.948
79,6,8,35.042
79,10,15,28.802
79,6,2,6.885
79,11,12,12.657
79,4,12,5.362
79,15,9,19.497
79,10,6,11.053
79,8,3,8.934
83,5,1,43.534
83,6,1,44.988
83,5,13,10.631
83,9,2,32.139
83,8,15,26.026
83,10,4,27.466
83,13,11,27.941
83,7,15,26.067
83,5,2,2.913
83,5,10,7.777
83,8,10,13.315
83,13,10,47.13
83,7,4,7.249
83,13,15,3.517
83,10,11,24.108
83,5,6,2.781
83,7,3,13.234
83,10,12,30.729
83,9,12,36.754
83,14,11,10.395
85,3,12,9.926
85,4,9,3.545
85,14,13,46.672
85,14,4,8.704
85,14,2,1.28
85,5,4,24.474
85,11,1,33.035
85,11,7,32.835
85,6,13,15.624
85,10,9,18.066
85,6,7,9.153
85,5,8,12.555
85,9,1,13.459
85,2,8,30.867
85,2,9,7.941
85,4,13,8.618
85,3,8,9.919
85,3,4,6.191
85,14,12,28.655
85,5,14,34.696
85,2,11,29.479
85,8,1,4.426
146,9,1,33.689
146,7,10,1.344
146,3,1,1.368
146,9,15,1.002
146,8,9,27.133
146,6,10,35.677
146,2,3,22.6
146,4,9,13.311
146,9,14,24.761
146,5,11,22.955
146,8,14,11.78
146,13,10,23.864
146,11,3,7.181
146,14,3,4.73
146,5,9,7.22
146,11,1,6.356
146,14,11,9.257
146,4,11,5.3
146,5,3,3.105
146,2,13,32.321
166,9,7,2.287
166,3,13,3.276
166,15,11,21.406
166,5,13,35.039
164,3,7,7.99
166,5,1,26.613
166,4,1,23.643
166,8,11,22.46
166,8,7,5.12
166,8,13,7.033
166,13,1,4.675
166,4,14,21.581
166,3,12,1.468
166,5,7,3.182
166,2,7,10.005
166,6,12,23.056
164,11,7,4.143
166,3,9,49.128
166,15,1,2.213
166,7,12,3.156
166,13,11,5.805
166,15,7,4.055
166,4,6,15.071
164,6,15,3.644
164,3,13,6.151
164,5,8,1.478
164,6,5,1.146
164,10,1,2.656
164,15,3,1.183
164,9,12,2.797
164,4,8,1.623
164,14,1,1.472
164,10,14,1.279
164,10,12,1.222
164,6,12,11.53
164,9,11,1.403
164,12,1,17.951
164,15,11,22.371
164,5,12,24.231
164,3,12,6.694
164,6,3,1.081
187,2,15,43.31
187,6,11,36.822
187,4,12,33.06
202,14,6,31.82
202,10,8,9.1
202,10,2,20.266
202,12,13,1.041
202,7,1,16.856
202,6,1,7.221
202,12,8,11.904
202,7,6,0.067
202,10,9,10.963
202,6,2,5.558
202,14,13,6.353
202,5,4,12.41
202,2,1,11.571
202,7,13,4.693
202,6,13,2.725
202,8,2,1.963
202,7,4,4.543
202,14,7,11.635
202,5,2,2.08
202,4,2,1.967
202,4,15,25.989
202,6,8,5.168
202,14,2,1.795
202,5,15,3.239
202,15,13,19.12
202,8,15,3.817
202,12,2,2.523
202,10,11,7.193
202,10,15,4.324
202,10,4,2.625
202,6,9,25.918
202,11,12,10.051
202,10,3,1.798
202,15,12,3.473
202,14,15,3.552
202,10,5,2.344
202,9,13,6.045
202,8,11,3.296
202,4,12,7.826
202,9,1,3.492
228,8,1,10.403
228,8,7,11.999
228,1,3,37.903
228,14,9,19.895
228,14,7,53.132
228,6,7,28.806
228,2,3,6.61
228,4,7,13.474
228,9,13,50.881
228,5,9,14.108
228,8,13,11.476
228,10,12,1.262
228,7,3,11.097
228,10,3,6.728
228,5,7,16.808
228,1,11,12.476
228,14,11,15.167
228,4,9,9.978
228,2,14,8.095
228,2,11,48.258
309,12,1,5.094
309,9,12,1.504
309,4,1,1.064
309,11,12,2.426
309,15,7,4.325
309,2,7,48.789
309,10,5,1.398
309,6,14,1.646
309,6,4,15.822
309,11,4,20.339
309,6,11,13.677
309,14,1,9.687
309,12,13,1.017
309,5,12,4.221
309,9,3,10.966
309,5,3,2.998
309,4,13,4.857
309,9,2,3.05
309,5,13,2.699
309,8,2,1.017
330,15,1,1.29
330,2,1,15.643
330,14,12,1.738
330,5,1,32.741
330,3,14,1.062
330,15,14,6.68
330,15,2,17.086
330,7,12,2.936
330,10,7,42.428
330,3,11,1.025
330,2,12,2.972
330,4,8,1.577
330,15,5,21.521
330,6,10,46.678
330,10,14,14.597
330,2,5,9.015
330,15,10,6.307
330,8,9,40.493
