judge,candidate_chosen,candidate_not_chosen,time_taken
70,25,15,3732
70,17,5,3816
77,7,10,6321
82,17,23,3561
82,14,5,7943
77,9,21,3569
70,17,7,4194
77,17,7,7857
70,18,10,2583
70,16,24,3975
82,21,10,4835
77,14,2,5664
70,10,16,4273
82,20,10,4244
77,10,21,5988
70,14,10,3706
82,25,11,3152
70,1,24,3462
82,2,10,3755
77,12,8,11368
70,21,4,9066
82,18,6,5043
82,7,24,4059
70,10,7,5044
77,9,20,3899
82,5,11,4197
77,6,5,4800
70,5,24,2547
82,25,15,3072
70,18,16,2810
82,15,11,2823
77,14,5,3946
70,7,24,3148
82,14,23,3433
77,21,4,4546
70,25,1,2871
82,17,19,3966
70,1,5,4188
77,7,24,5613
82,15,16,3365
70,5,11,3976
82,25,24,3687
77,20,25,5891
70,12,18,3358
82,3,20,3367
70,22,4,3433
77,15,25,4059
82,19,23,3206
70,19,24,3721
82,12,10,6832
77,3,9,5129
77,17,6,4676
70,14,3,5246
77,6,18,7755
82,3,5,5430
70,12,20,3693
70,15,11,3491
82,6,16,4889
70,25,11,4598
82,25,19,9201
77,15,11,3456
70,7,2,4041
77,12,13,3482
70,22,24,4075
77,5,11,21822
82,23,21,7159
70,14,23,4013
70,14,7,3730
82,12,18,3678
70,21,23,4614
82,12,8,4350
70,3,23,3301
82,7,2,3326
70,12,24,3157
82,5,24,7941
70,3,9,8217
77,1,16,2503
77,17,23,3787
82,16,24,6572
77,12,20,4858
70,11,24,7619
77,3,10,4739
82,13,25,8392
70,14,2,5367
77,14,23,6205
82,16,18,5921
70,10,2,3919
77,23,21,8737
70,25,5,2051
82,7,10,3094
82,19,11,4013
77,2,10,14991
70,15,1,4560
82,9,20,6288
70,12,15,7269
82,14,3,5298
70,13,5,2918
77,3,24,5640
70,9,2,3393
70,1,23,4922
77,17,5,3819
70,16,11,3385
77,14,19,4510
70,17,6,2849
77,16,11,6912
70,3,10,3296
70,25,16,2473
77,14,7,4520
70,12,13,4666
70,18,4,3084
70,3,4,2653
70,8,4,5508
70,6,4,15030
70,8,21,5140
50,17,15,6079
51,13,11,7131
51,20,11,3184
50,8,18,6445
50,25,3,6339
50,9,15,5206
50,14,11,5094
50,12,16,5879
50,15,24,10508
50,13,16,2656
50,14,4,3703
50,20,11,2840
50,12,21,2185
50,6,23,3071
50,2,21,4042
50,13,11,2137
50,12,14,6369
50,25,8,2243
50,21,24,3768
50,20,6,2352
51,15,24,1321
50,23,18,3486
50,15,21,2511
51,2,21,4068
51,15,9,3789
50,10,1,4588
50,19,1,2233
50,25,6,2412
51,12,16,8451
50,12,23,3856
51,12,14,2653
50,21,16,2114
50,12,2,2144
50,10,13,2002
51,15,17,6081
50,22,21,2480
51,3,25,2590
50,20,13,2379
51,14,4,2050
50,10,19,2738
51,6,23,3109
50,20,5,1669
51,18,8,2658
51,12,21,2231
50,10,22,2389
51,13,16,2415
50,25,10,2461
51,14,11,1663
50,15,23,2886
51,22,16,1690
50,24,4,4891
51,3,13,3219
51,3,21,1349
50,12,4,2708
51,22,18,1882
50,17,20,2221
51,24,20,3552
50,20,8,2905
51,2,5,2452
50,10,6,3267
51,3,19,1928
50,6,21,2316
51,17,16,2409
50,17,3,2058
51,24,6,3325
50,14,22,2191
51,22,3,2135
50,17,9,2141
50,3,2,2298
50,20,21,2502
50,14,21,2437
50,9,13,2730
51,7,15,11380
51,13,4,1707
50,1,18,2382
50,3,1,3042
51,22,17,6444
50,5,8,3876
50,1,11,3693
50,6,11,2121
51,12,11,10724
50,25,9,1382
50,5,4,3162
50,19,8,2227
51,22,5,8371
50,23,24,3259
51,1,6,2408
50,22,16,2457
50,13,18,3607
51,9,18,5146
50,7,16,3060
51,8,5,1476
50,10,5,2256
51,9,19,1875
50,1,8,1732
51,22,2,2712
50,15,18,1977
51,10,24,3575
50,20,24,3032
51,14,18,2818
50,15,22,2843
51,1,21,1339
50,22,19,3122
51,17,18,2118
51,16,4,1841
50,2,24,3252
51,12,7,1472
50,22,8,1749
51,2,3,1978
50,12,19,2157
51,13,6,2143
50,23,8,2313
51,7,6,1773
50,17,10,1462
51,7,16,1746
50,3,8,1872
51,24,21,1884
51,7,20,1377
50,9,14,2457
51,20,4,2586
50,2,5,2761
50,25,7,1611
51,13,8,4443
50,22,20,1792
51,16,19,2463
50,22,23,2472
51,20,18,1827
50,13,23,2913
52,7,5,6980
51,22,25,2192
50,20,16,1763
51,15,20,1632
51,15,2,1324
50,10,9,2804
52,2,15,4810
51,13,20,1771
50,7,18,2644
51,14,15,1554
50,15,8,2055
51,17,21,3214
52,15,8,6502
50,7,23,2056
51,9,24,2444
52,1,4,4634
51,10,23,2481
50,8,11,5282
51,1,14,2236
50,2,13,1940
51,14,16,1733
52,14,24,5326
50,9,5,2305
50,5,18,2392
51,5,21,4721
51,9,25,1815
51,12,3,1865
52,9,5,8680
50,7,12,2909
51,18,19,2134
50,7,22,1693
52,14,17,2794
51,15,4,1679
51,12,1,1398
50,10,24,2802
52,7,21,2813
50,2,23,3207
52,7,9,3198
50,14,18,2213
52,2,13,2799
50,14,8,2057
51,2,19,11007
50,8,24,2544
52,24,8,4265
51,1,18,1544
50,19,21,2754
52,1,13,4572
50,9,6,2255
52,22,23,3558
51,22,10,11008
51,7,25,1592
51,12,17,1536
52,19,4,9493
51,14,22,3679
52,14,25,4251
51,7,5,1448
51,14,6,2413
51,1,8,2609
51,7,11,1207
51,1,20,1392
51,8,16,1743
52,7,8,5579
51,18,5,2036
52,2,11,3428
51,16,5,1793
51,9,10,1670
52,25,21,2537
51,13,18,2530
51,15,22,1808
52,11,4,4975
51,6,19,4269
52,2,17,3792
51,6,21,1562
52,25,12,4248
51,22,9,1404
51,7,9,1241
52,8,11,4486
52,13,21,2297
51,13,19,5540
52,6,8,2788
51,3,8,3992
51,22,19,1182
52,3,16,4066
51,22,11,1446
52,14,16,1477
51,14,17,1473
51,7,21,1155
52,7,11,1828
51,20,17,1576
52,20,16,2772
52,9,23,1534
52,1,14,2093
52,9,12,3427
52,23,4,2609
52,17,4,2571
52,2,23,2243
52,23,16,2103
52,13,8,1605
52,23,5,1787
52,9,11,3292
52,17,8,1490
52,23,20,1433
52,7,4,2357
52,20,19,2487
52,14,15,1996
52,23,11,6040
52,14,8,2452
52,21,11,5086
52,17,11,1364
52,22,13,1589
52,1,2,2369
52,25,23,3977
52,15,10,2091
52,17,24,3605
52,1,20,1332
52,2,6,1666
52,25,18,1846
52,9,24,1775
52,22,25,2069
52,5,16,3575
52,6,12,4460
52,24,18,2349
52,17,21,2710
52,15,3,3764
52,12,5,2917
52,14,20,1333
52,9,16,1410
52,22,12,1550
52,2,4,1392
52,7,19,1453
52,14,6,2412
52,20,18,3021
52,3,11,1491
52,7,13,1340
52,19,18,3175
52,7,3,1256
52,15,5,2300
52,2,16,1639
52,10,4,2231
52,15,19,3471
52,1,7,1678
52,10,8,5385
52,19,5,3570
52,7,18,1499
52,25,4,4745
52,2,20,2476
52,3,18,1606
52,22,11,1735
52,15,13,3286
52,22,6,2141
52,1,22,1652
52,24,13,3355
52,9,8,2362
52,6,19,1970
52,1,17,1484
52,18,11,3134
52,17,13,1785
82,1,15,4557
82,1,9,4786
70,15,6,5624
77,1,25,6190
82,10,16,4516
70,18,21,4216
77,2,8,4519
82,21,4,4751
70,17,23,5307
82,1,25,3683
70,17,25,4234
82,12,24,4507
77,19,11,11771
70,6,16,4276
82,14,10,3192
77,17,25,4587
70,9,4,5135
82,1,5,3968
70,8,2,5391
82,17,7,4834
70,12,8,3492
82,2,18,4027
70,18,6,3729
77,25,24,15378
82,25,5,4026
82,14,13,4065
70,10,21,5753
77,19,24,5168
82,1,24,4287
70,3,5,4269
77,2,25,4879
70,12,10,3749
82,22,24,4886
77,16,25,7422
70,25,13,4869
82,10,11,4832
77,12,24,3682
70,14,13,3941
70,19,11,3851
77,5,25,4967
82,3,6,4983
70,20,10,3745
77,1,5,4320
82,9,21,5450
70,9,1,5704
77,12,10,5385
82,2,25,4516
70,10,11,4079
77,9,4,4076
82,9,3,2957
70,19,25,4555
77,1,15,6872
82,25,20,6578
70,15,16,4010
77,16,24,4850
82,19,24,5408
70,25,24,4565
77,12,18,4534
70,3,24,4566
82,2,8,5724
82,18,21,3160
70,6,5,3976
82,14,2,4829
77,2,18,10834
70,20,25,3998
82,10,18,3997
82,12,15,3927
77,13,5,5015
70,1,16,6149
82,22,4,3395
70,9,21,3699
82,9,4,5061
70,18,2,4779
77,18,21,10123
82,3,23,3418
70,17,19,5055
77,15,16,4787
82,1,16,4218
70,19,14,4015
77,3,20,3444
82,15,6,4867
70,20,3,5379
77,25,19,5398
82,13,5,3660
77,3,6,3950
70,20,9,4790
82,17,25,4217
70,25,2,3192
77,25,11,4881
82,12,20,4851
70,3,6,4524
77,6,16,4513
82,11,24,4510
70,19,23,4233
82,6,5,4270
70,14,5,3959
82,17,3,4491
70,20,15,4502
82,1,7,4511
82,12,4,3108
70,22,5,3675
77,24,11,22130
70,6,13,3951
82,19,8,3386
77,1,23,5060
70,22,9,3917
82,1,4,3989
77,1,9,4262
70,16,4,4289
82,22,9,4818
70,1,4,3949
82,13,4,4481
70,15,21,3953
77,5,24,9579
82,18,11,4006
70,13,22,3974
77,15,6,4243
70,12,5,3443
82,12,1,4265
77,16,18,7089
70,19,16,4804
82,12,5,5917
77,3,5,3672
82,23,8,2856
82,6,8,2854
77,2,7,7658
82,19,21,3704
82,25,23,3434
77,13,25,4256
82,22,6,3149
77,3,23,3995
82,18,22,3438
77,23,19,4570
82,25,8,3717
77,20,10,5684
82,12,9,3139
77,14,10,3724
82,10,8,3692
77,14,13,7738
82,20,2,5215
82,22,7,2861
82,18,4,3675
77,16,10,8730
82,21,5,2622
77,2,9,3465
82,9,13,3644
82,1,3,2979
77,17,19,4075
82,16,4,3774
77,14,3,4082
77,22,24,4867
77,12,15,2910
77,18,10,5273
77,22,4,2646
77,10,11,9648
77,1,24,3294
77,23,10,3138
77,22,9,2701
77,19,8,4486
77,15,10,2038
77,13,10,1725
77,1,19,2773
77,23,20,3418
77,12,11,2288
77,18,11,4822
77,23,25,3741
77,9,6,2597
77,12,2,2796
77,2,4,2415
77,22,8,3184
77,22,20,2107
88,15,5,3121
88,10,6,2744
88,9,11,1554
88,20,6,3266
88,3,15,5922
88,18,23,4477
89,3,22,13127
88,6,4,2537
89,22,2,3264
88,17,11,1866
88,1,6,2073
89,15,18,2597
88,6,11,2836
89,21,13,4175
88,12,23,3786
89,5,4,3617
89,20,6,3251
88,8,16,5892
89,19,2,2708
88,25,6,2871
89,11,4,3366
88,25,21,3055
89,10,5,4383
88,25,4,4028
89,17,4,2249
88,14,21,1826
88,7,19,1988
89,12,23,6534
89,17,22,2059
88,8,20,4681
89,22,12,2481
88,2,19,2009
89,22,21,3324
88,3,4,1969
88,5,4,4250
89,6,11,5186
88,12,25,4482
88,15,13,3046
89,23,4,4670
88,10,4,2552
89,21,8,3513
88,9,16,2604
89,19,4,2542
89,12,25,2492
89,17,18,1761
88,23,24,10422
89,17,9,4266
88,22,12,2954
89,9,19,2651
88,9,8,2245
89,14,21,3043
88,2,11,2014
89,20,21,2300
88,17,13,1911
89,1,10,2232
88,22,21,2505
89,1,13,3336
89,9,8,2009
89,1,6,2755
89,14,24,5555
88,9,17,10821
89,10,4,2637
88,1,17,2652
89,20,14,2582
88,23,5,3766
88,7,6,2839
89,7,4,3502
88,15,18,2877
89,19,15,2523
101,7,3,4184
88,16,23,4200
89,17,16,2768
88,14,20,2250
101,9,18,3845
89,3,16,2788
101,1,22,2195
88,10,25,2994
89,6,2,3020
88,13,19,2345
101,15,19,3859
89,19,13,2777
88,2,6,2922
101,3,18,4111
89,19,12,4093
88,1,10,3544
101,9,23,2376
89,7,8,2401
88,8,21,2945
89,6,24,3144
88,16,21,3243
89,6,4,3168
88,1,2,2363
89,15,7,2271
88,7,23,2143
101,24,4,11920
89,18,24,2613
88,20,5,4248
101,3,19,2780
89,1,11,3586
88,3,21,2776
89,21,25,3360
101,16,17,6635
88,17,16,2775
89,13,23,4104
101,17,8,3610
88,15,23,2300
89,17,13,2917
101,10,25,4001
88,23,11,3683
89,3,15,3956
101,3,13,3067
88,15,19,3635
88,1,11,2660
101,24,17,4083
89,4,24,3996
88,24,4,4141
89,3,11,4440
101,20,4,6595
88,3,16,4948
89,23,16,3293
101,7,13,3279
88,2,16,2759
89,1,21,3321
88,13,23,2502
89,25,4,3043
88,10,19,1935
101,7,20,2573
89,12,6,2832
88,3,19,2789
101,13,19,3829
88,7,4,3546
89,1,22,5688
101,12,19,5175
88,20,21,3024
89,20,5,2809
101,17,12,2512
88,22,3,2521
89,23,24,1966
101,1,11,1997
88,2,22,2802
89,14,9,4854
88,12,19,3211
101,20,19,5118
89,20,19,3070
88,7,3,3873
101,16,2,5306
89,6,25,4987
88,18,24,4986
101,12,6,3574
89,23,5,3326
88,3,13,3614
101,14,25,3579
89,3,18,3320
