judge,candidate_chosen,candidate_not_chosen,time_taken
74,2,6,5781
66,20,21,6608
73,9,20,4662
85,7,17,6931
74,10,8,4812
73,21,11,4793
66,12,23,4396
74,13,25,4861
85,6,25,26040
73,12,11,4582
66,13,12,4441
74,24,4,6241
73,15,22,8513
66,14,19,3159
66,9,7,4257
74,8,4,5664
73,21,20,5704
66,6,25,3958
74,8,19,6328
66,9,13,3431
73,2,20,3467
66,22,6,2917
73,19,25,7553
74,22,6,4290
66,13,18,3446
74,2,8,4173
66,10,6,8422
73,1,14,5442
74,17,14,3458
74,22,5,3383
73,14,19,5033
66,2,11,3113
74,7,23,3651
66,3,22,3094
73,24,11,4258
74,7,3,4794
66,13,4,3686
73,15,8,3672
66,3,15,3989
74,17,1,2864
73,7,8,3109
74,11,24,4481
66,13,24,3921
73,1,25,5091
66,10,11,3129
73,3,4,3623
74,23,8,7058
73,6,11,3403
66,3,13,4903
74,13,24,3721
66,22,5,3747
74,19,11,4046
66,22,13,3951
73,10,12,5520
74,1,20,4145
66,13,5,3033
73,2,22,5692
66,2,20,5384
74,22,2,6015
73,23,16,4939
66,13,8,5203
74,20,21,5128
73,17,16,6277
66,9,6,3992
74,14,1,4046
66,13,20,2904
74,6,12,2309
73,22,6,4379
66,11,21,3244
74,2,24,5179
73,14,11,5390
66,22,11,3412
74,22,19,3481
66,7,21,2910
73,23,12,5703
74,3,11,3121
66,8,18,3657
74,10,25,2646
66,1,16,1845
73,14,20,2928
74,22,13,2999
66,6,11,2678
73,24,4,6771
74,13,10,3745
66,7,4,3776
74,5,12,4472
66,11,24,7926
73,9,6,2704
74,18,5,3235
73,13,21,5217
66,11,12,4030
73,18,25,6749
74,9,14,3658
74,14,12,4498
66,17,16,4696
73,13,24,20830
74,13,21,3431
66,19,18,2953
74,8,18,3632
66,3,4,3095
66,5,18,2926
74,16,11,2938
66,10,13,3315
74,3,4,4479
66,3,7,3438
74,7,8,4576
66,9,2,2049
73,8,19,10176
66,8,5,3756
74,22,21,4328
66,6,21,2399
74,9,3,4707
66,20,4,4050
73,14,8,15281
74,17,16,4506
66,1,20,1968
66,15,22,3207
74,1,16,4864
66,22,19,3090
74,15,7,4012
66,3,11,2595
66,10,20,3414
74,15,25,3112
66,15,25,1873
74,3,2,5612
66,7,25,2635
74,1,10,12279
66,15,23,2079
66,5,4,3101
66,22,21,2355
66,13,19,3258
66,3,10,1989
66,15,20,3405
66,6,19,2610
66,6,4,2946
66,9,15,3211
66,15,10,2684
66,6,5,2457
66,1,18,2458
66,1,11,3531
66,17,23,5089
45,7,2,5491
45,24,16,10989
45,10,14,6534
45,10,4,4192
45,17,24,3713
45,14,16,3257
45,9,19,2569
45,2,14,2842
45,11,18,4511
45,17,25,2322
45,19,4,3824
45,7,16,2274
45,12,21,4971
45,1,19,2257
45,20,16,3793
45,15,5,3467
45,6,20,1869
45,2,12,2318
45,2,19,2550
45,3,20,2830
45,23,13,2573
45,12,20,3006
45,10,24,2520
45,2,21,2255
45,12,19,3718
45,7,11,2562
45,23,5,3617
45,7,24,2732
45,24,21,3929
45,23,20,2704
45,9,22,16295
45,23,11,3490
45,24,8,3649
45,24,23,2577
45,15,24,2983
45,17,20,2119
45,16,21,3216
45,15,1,2433
45,22,10,1878
45,22,16,2270
45,13,6,5107
55,3,16,3959
45,9,18,2046
45,2,18,2442
55,7,5,4362
45,17,18,2260
55,15,21,3532
45,3,23,3731
55,9,18,3068
45,23,18,2007
45,15,17,2260
45,10,5,4238
45,15,11,1627
45,9,11,2004
45,12,25,3118
55,1,6,16718
45,9,25,2408
45,3,18,1768
45,2,25,2566
45,9,16,1564
55,14,4,11050
45,13,11,3065
55,3,6,2386
55,24,25,8309
55,15,14,3229
45,9,23,13984
45,24,18,2554
45,3,8,2355
55,11,4,6409
45,3,5,2323
55,14,24,2765
45,1,21,3284
55,9,8,3253
55,20,8,4082
45,14,23,5991
55,20,18,2686
45,22,7,3210
55,3,25,3095
45,17,21,2546
45,14,25,6803
55,17,11,2911
